upc,description,cost,normal_price,special_price,specialcost,pricemethod,groupprice,quantity,start_date,end_date,departmentId,sectionId,vendorId,pack,size,tax,fee,foodstamp,scale,active,wicable,validage,PLU,UnitOfMeasure,case_cost,QuantityOnHand,dept_name,section_name,vendor_name,tareweight,linkedUpc,expiration_date,cert_code,deleted,HideFromECommerce,discount,LowInventoryAlert,ReOrderQuantity,ProductCode,EPlumLabelFormatNo,EPlumDeptNo,ScaleByCount,ECommerceId,ECommercePackWeight,ECommercePrice,ECommerceSalePrice,ECommerceOnSale,ECommerceUnitDescription,ECommerceDescription,ECommerceSummary,CasScaleIngredients,CasScaleNutrition,CasScalePluType
8906005666086,Narasus Udhayam Roast & Ground Coffee 500gm,7.2500,10.4900,,,,,,,,187,,,,,,,False,False,True,,,,,,7.0000,Tea & Coffee,,,,,,,False,False,1,,,,,,False,1476,,,,,,,,,,
8906005666321,Narasus Anandham Filter Coffee 200gm,3.5000,5.4900,,,,,,,,187,,7,,,,,False,False,True,,,,,,3.0000,Tea & Coffee,,Moghul Foods,,,,,False,False,1,1,,,,,False,1760,,,,,,,,,,
8906005666505,Narasus delite Coffee 200g,3.5000,5.4900,,,,,,,,187,,7,,,,,False,False,True,,,,,,1.0000,Tea & Coffee,,Moghul Foods,,,,,False,False,1,1,,,,,False,1758,,,,,,,,,,
8906008351989,Manna Health Mix 1LB,5.2900,7.4900,,,,,,,,20,,14,,,,,False,False,True,0,,,,,17.0000,Generic,,Vadilal,,,,,False,False,1,4,,,,,False,1477,,,,,,,,,,
8906010360085,GRB Ghee 200ml,3.1600,4.7900,,,,,,,,176,,7,,,,,False,False,True,,,,,,4.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,5,,,,,False,1478,,,,,,,,,,
8906010360092,GRB Ghee 830 ml,12.8333,17.4900,,,,,,,,176,,7,12,,,,False,False,True,,,,,154.00,10.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,4,,,,,False,1479,,,,,,,,,,
8906010360115,GRB Ghee 500ml,7.3300,10.9900,9.9900,,0,,,2/12/2026 5:00:00 AM,2/28/2026 5:00:00 AM,176,,7,,,,,False,False,True,0,,,,,17.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,3,,,,,False,1480,,,,,,,,,,
8906010361143,GRB pure cow ghee 1660 ml,25.7500,36.9900,,,,,,,,176,,7,,,,,False,False,True,,,,,,8.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,2,,,,,False,1736,,,,,,,,,,
8906010362706,GRB Mysore Pak 400g,4.7500,6.2000,,,,,,,,176,,7,,,,,False,False,True,,,,,,0.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,2,,,,,False,1481,,,,,,,,,,
8906010365950,GRB Dates Halwa 200g,2.2500,3.4900,,,,,,,,176,,7,,,,,False,False,True,,,,,,3.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,2,,,,,False,1482,,,,,,,,,,
8906010367336,GRB Soan Cake 200g,2.4300,3.9900,,,,,,,,176,,7,,,,,False,False,True,,,,,,3.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,2,,,,,False,1483,,,,,,,,,,
8906010367732,GRB Gulab Jamun 1kg,4.6700,6.2000,,,,,,,,176,,7,,,,,False,False,True,,,,,,11.0000,Cooking Oil & Ghee,,Moghul Foods,,,,,False,False,1,4,,,,,False,1484,,,,,,,,,,
8906010368579,Town Bus Thenkulal Murukku,2.1900,3.2500,,,,,,,,175,,7,,,,,False,False,True,0,,,,,26.0000,Snacks,,Moghul Foods,,,,,False,False,1,5,,,,,False,1485,,,,,,,,,,
8906010505202,Balaji Masala Masti Wafer 150g,1.3800,2.2900,,,,,,,,175,,,,,,,False,False,True,,,,,,0.0000,Snacks,,,,,,,False,False,1,,,,,,False,1486,,,,False,,,,,,
8906010505387,Balaji Sev Murmura,2.0000,2.9900,,,,,,,,175,,,,,,,False,False,True,,,,,,9.0000,Snacks,,,,,,,False,False,1,,,,,,False,1487,,,,False,,,,,,
